,id,total_bill,tip,sex,smoker,day,time,size
0,1,16.99,1.01,Female,No,Sun,Dinner,2
1,2,10.34,1.66,Male,No,Sun,Dinner,3
2,3,21.01,3.5,Male,No,Sun,Dinner,3
3,4,23.68,3.31,Male,No,Sun,Dinner,2
4,5,24.59,3.61,Female,No,Sun,Dinner,4
5,6,25.29,4.71,Male,No,Sun,Dinner,4
6,7,8.77,2.0,Male,No,Sun,Dinner,2
7,8,26.88,3.12,Male,No,Sun,Dinner,4
8,9,15.04,1.96,Male,No,Sun,Dinner,2
9,10,14.78,3.23,Male,No,Sun,Dinner,2
10,11,10.27,1.71,Male,No,Sun,Dinner,2
11,12,35.26,5.0,Female,No,Sun,Dinner,4
12,13,15.42,1.57,Male,No,Sun,Dinner,2
13,14,18.43,3.0,Male,No,Sun,Dinner,4
14,15,14.83,3.02,Female,No,Sun,Dinner,2
15,16,21.58,3.92,Male,No,Sun,Dinner,2
16,17,10.33,1.67,Female,No,Sun,Dinner,3
17,18,16.29,3.71,Male,No,Sun,Dinner,3
18,19,16.97,3.5,Female,No,Sun,Dinner,3
19,20,20.65,3.35,Male,No,Sat,Dinner,3
20,21,17.92,4.08,Male,No,Sat,Dinner,2
21,22,20.29,2.75,Female,No,Sat,Dinner,2
22,23,15.77,2.23,Female,No,Sat,Dinner,2
23,24,39.42,7.58,Male,No,Sat,Dinner,4
24,25,19.82,3.18,Male,No,Sat,Dinner,2
25,26,17.81,2.34,Male,No,Sat,Dinner,4
26,27,13.37,2.0,Male,No,Sat,Dinner,2
27,28,12.69,2.0,Male,No,Sat,Dinner,2
28,29,21.7,4.3,Male,No,Sat,Dinner,2
29,30,19.65,3.0,Female,No,Sat,Dinner,2
30,31,9.55,1.45,Male,No,Sat,Dinner,2
31,32,18.35,2.5,Male,No,Sat,Dinner,4
32,33,15.06,3.0,Female,No,Sat,Dinner,2
33,34,20.69,2.45,Female,No,Sat,Dinner,4
34,35,17.78,3.27,Male,No,Sat,Dinner,2
35,36,24.06,3.6,Male,No,Sat,Dinner,3
36,37,16.31,2.0,Male,No,Sat,Dinner,3
37,38,16.93,3.07,Female,No,Sat,Dinner,3
38,39,18.69,2.31,Male,No,Sat,Dinner,3
39,40,31.27,5.0,Male,No,Sat,Dinner,3
40,41,16.04,2.24,Male,No,Sat,Dinner,3
41,42,17.46,2.54,Male,No,Sun,Dinner,2
42,43,13.94,3.06,Male,No,Sun,Dinner,2
43,44,9.68,1.32,Male,No,Sun,Dinner,2
44,45,30.4,5.6,Male,No,Sun,Dinner,4
45,46,18.29,3.0,Male,No,Sun,Dinner,2
46,47,22.23,5.0,Male,No,Sun,Dinner,2
47,48,32.4,6.0,Male,No,Sun,Dinner,4
48,49,28.55,2.05,Male,No,Sun,Dinner,3
49,50,18.04,3.0,Male,No,Sun,Dinner,2
50,51,12.54,2.5,Male,No,Sun,Dinner,2
51,52,10.29,2.6,Female,No,Sun,Dinner,2
52,53,34.81,5.2,Female,No,Sun,Dinner,4
53,54,9.94,1.56,Male,No,Sun,Dinner,2
54,55,25.56,4.34,Male,No,Sun,Dinner,4
55,56,19.49,3.51,Male,No,Sun,Dinner,2
56,57,38.01,3.0,Male,Yes,Sat,Dinner,4
57,58,26.41,1.5,Female,No,Sat,Dinner,2
58,59,11.24,1.76,Male,Yes,Sat,Dinner,2
59,60,48.27,6.73,Male,No,Sat,Dinner,4
60,61,20.29,3.21,Male,Yes,Sat,Dinner,2
61,62,13.81,2.0,Male,Yes,Sat,Dinner,2
62,63,11.02,1.98,Male,Yes,Sat,Dinner,2
63,64,18.29,3.76,Male,Yes,Sat,Dinner,4
64,65,17.59,2.64,Male,No,Sat,Dinner,3
65,66,20.08,3.15,Male,No,Sat,Dinner,3
66,67,16.45,2.47,Female,No,Sat,Dinner,2
67,68,3.07,1.0,Female,Yes,Sat,Dinner,1
68,69,20.23,2.01,Male,No,Sat,Dinner,2
69,70,15.01,2.09,Male,Yes,Sat,Dinner,2
70,71,12.02,1.97,Male,No,Sat,Dinner,2
71,72,17.07,3.0,Female,No,Sat,Dinner,3
72,73,26.86,3.14,Female,Yes,Sat,Dinner,2
73,74,25.28,5.0,Female,Yes,Sat,Dinner,2
74,75,14.73,2.2,Female,No,Sat,Dinner,2
75,76,10.51,1.25,Male,No,Sat,Dinner,2
76,77,17.92,3.08,Male,Yes,Sat,Dinner,2
77,78,27.2,4.0,Male,No,Thur,Lunch,4
78,79,22.76,3.0,Male,No,Thur,Lunch,2
79,80,17.29,2.71,Male,No,Thur,Lunch,2
80,81,19.44,3.0,Male,Yes,Thur,Lunch,2
81,82,16.66,3.4,Male,No,Thur,Lunch,2
82,83,10.07,1.83,Female,No,Thur,Lunch,1
83,84,32.68,5.0,Male,Yes,Thur,Lunch,2
84,85,15.98,2.03,Male,No,Thur,Lunch,2
85,86,34.83,5.17,Female,No,Thur,Lunch,4
86,87,13.03,2.0,Male,No,Thur,Lunch,2
87,88,18.28,4.0,Male,No,Thur,Lunch,2
88,89,24.71,5.85,Male,No,Thur,Lunch,2
89,90,21.16,3.0,Male,No,Thur,Lunch,2
90,91,28.97,3.0,Male,Yes,Fri,Dinner,2
91,92,22.49,3.5,Male,No,Fri,Dinner,2
92,93,5.75,1.0,Female,Yes,Fri,Dinner,2
93,94,16.32,4.3,Female,Yes,Fri,Dinner,2
94,95,22.75,3.25,Female,No,Fri,Dinner,2
95,96,40.17,4.73,Male,Yes,Fri,Dinner,4
96,97,27.28,4.0,Male,Yes,Fri,Dinner,2
97,98,12.03,1.5,Male,Yes,Fri,Dinner,2
98,99,21.01,3.0,Male,Yes,Fri,Dinner,2
99,100,12.46,1.5,Male,No,Fri,Dinner,2
100,101,11.35,2.5,Female,Yes,Fri,Dinner,2
101,102,15.38,3.0,Female,Yes,Fri,Dinner,2
102,103,44.3,2.5,Female,Yes,Sat,Dinner,3
103,104,22.42,3.48,Female,Yes,Sat,Dinner,2
104,105,20.92,4.08,Female,No,Sat,Dinner,2
105,106,15.36,1.64,Male,Yes,Sat,Dinner,2
106,107,20.49,4.06,Male,Yes,Sat,Dinner,2
107,108,25.21,4.29,Male,Yes,Sat,Dinner,2
108,109,18.24,3.76,Male,No,Sat,Dinner,2
